YEAR,QTR,WEEK,PRODUCT,INDUSTRY_UNITS
2010,2010-Q4,2010-42,French Door,36641
2010,2010-Q4,2010-42,Front Load,56395
2010,2010-Q4,2010-42,MHC,55815
2010,2010-Q4,2010-42,Side by Side,40736
2010,2010-Q4,2010-42,Top Load,88450
2010,2010-Q4,2010-42,Top Mount,82634
2010,2010-Q4,2010-43,2 Door Bottom Mount,5483
2010,2010-Q4,2010-43,Built-in Ovens,14284
2010,2010-Q4,2010-43,Cooktops,12653
2010,2010-Q4,2010-43,Dishwasher,137655
2010,2010-Q4,2010-43,Dryer,162808
2010,2010-Q4,2010-43,Free Standing Ranges,147649
2010,2010-Q4,2010-43,Freezer,40644
2010,2010-Q4,2010-43,French Door,48922
2010,2010-Q4,2010-43,Front Load,74561
2010,2010-Q4,2010-43,MHC,84446
2010,2010-Q4,2010-43,Side by Side,53191
2010,2010-Q4,2010-43,Top Load,116782
2010,2010-Q4,2010-43,Top Mount,88999
2010,2010-Q4,2010-44,2 Door Bottom Mount,5407
2010,2010-Q4,2010-44,Built-in Ovens,13923
2010,2010-Q4,2010-44,Cooktops,12645
2010,2010-Q4,2010-44,Dishwasher,126289
2010,2010-Q4,2010-44,Dryer,178763
2010,2010-Q4,2010-44,Free Standing Ranges,135216
2010,2010-Q4,2010-44,Freezer,36561
2010,2010-Q4,2010-44,French Door,47632
2010,2010-Q4,2010-44,Front Load,81855
2010,2010-Q4,2010-44,MHC,92810
